Tratamento	Bloco	Alturaplanta	Diâmetrobase	Comprimentodafolha(cm)	Comprimentodolimbo(cm)	Comprimentodopecíolo(cm)	Diametropecíolo(base)
F21B3P4	3	78.00	32.33	33.54	22.72	10.82	17.54
F21B3P4	4	45.20	29.32	21.93	15.10	6.83	12.75
F22B1P1	1	67.33	29.66	31.98	23.11	8.87	13.09
F22B1P1	2	72.67	36.54	29.47	21.22	8.25	16.29
F22B1P1	3	65.00	29.65	30.25	23.85	6.56	16.15
F22B1P1	4	47.83	30.46	31.68	23.32	8.37	15.91
F22B1P5	1	63.20	23.05	29.45	19.54	9.91	13.33
F22B1P5	2	45.00	23.43	28.50	19.98	8.53	16.42
F22B1P5	3	36.50	28.22	31.92	23.26	8.72	17.22
F22B1P5	4	40.00	22.66	27.13	15.85	11.28	13.45
F22B4P2	1	83.83	30.40	32.77	22.83	9.94	16.16
F22B4P2	2	86.33	28.67	27.81	19.34	8.47	14.81
F22B4P2	3	74.33	30.22	31.18	22.63	8.55	16.77
F22B4P2	4	70.20	25.54	26.86	18.78	8.08	13.49
F23B4P4	1	90.17	22.79	27.62	22.33	10.42	12.00
F23B4P4	2	76.20	31.64	29.71	22.25	7.46	16.61
F23B4P4	3	63.33	32.99	31.34	24.59	6.74	14.26
F23B4P4	4	69.40	30.52	33.20	24.00	9.20	15.04
F24B1P5	1	85.50	31.40	28.31	21.51	6.80	11.38
F24B1P5	2	93.80	36.58	31.21	22.94	8.27	11.61
F24B1P5	3	80.20	33.09	29.02	20.43	7.16	16.35
F24B1P5	4	56.33	30.31	33.13	24.70	8.43	15.03
F4B1P4	1	83.17	33.43	35.00	23.63	11.37	18.67
F4B1P4	2	75.20	34.40	33.68	23.84	9.84	14.91
F4B1P4	3	60.40	30.45	31.60	23.53	10.08	19.13
F4B1P4	4	54.33	30.60	27.47	18.90	8.57	11.63
F4B2P3	1	71.60	32.11	35.16	26.25	8.91	14.50
F4B2P3	2	90.00	38.78	28.90	22.60	6.30	15.94
F4B2P3	3	53.20	35.99	38.30	27.48	10.82	16.78
F4B2P3	4	55.00	30.02	24.36	17.66	6.69	14.24
F5B1P4	1	102.17	25.75	35.99	24.90	11.09	12.98
F5B1P4	2	84.50	29.18	33.08	23.07	10.01	16.57
F5B1P4	3	59.33	30.45	26.91	18.69	8.22	13.00
F5B1P4	4	54.67	26.84	33.24	23.46	9.78	15.23
F7B4P1	1	78.67	31.00	32.27	24.26	8.01	17.31
F7B4P1	2	100.75	30.47	32.82	24.59	8.23	17.72
F7B4P1	3	65.50	34.26	35.75	27.28	8.47	19.40
F7B4P1	4	56.83	30.93	30.43	22.22	8.22	16.44
F8B1P2	1	91.33	30.89	37.54	28.46	9.08	16.28
F8B1P2	2	95.40	28.61	31.84	24.38	7.45	14.96
F8B1P2	3	58.40	36.21	31.43	21.86	9.48	18.90
F8B1P2	4	38.00	29.36	24.65	19.23	5.42	13.55
F8B1P4	1	64.67	28.81	34.29	23.60	10.69	16.36
F8B1P4	2	71.00	27.25	30.18	22.72	7.46	16.57
F8B1P4	3	39.67	30.20	24.53	19.24	5.65	14.05
F8B1P4	4	38.00	28.66	28.08	20.53	7.55	14.89
F9B2P3	1	72.00	26.07	26.46	18.58	7.88	13.57
F9B2P3	2	70.17	37.68	30.07	22.70	7.37	17.34
F9B2P3	3	59.83	35.26	36.38	25.55	10.83	19.18
F9B2P3	4	76.00	29.06	33.55	21.98	11.58	15.19
Georgia	1	48.83	35.48	29.29	20.41	8.88	13.73
Georgia	2	51.33	36.28	27.38	20.16	7.21	15.08
Georgia	3	25.17	38.67	28.05	19.17	8.88	18.12
Georgia	4	26.00	35.05	30.73	22.95	7.78	14.84
Manteiga	1	50.20	27.08	23.85	18.10	5.74	13.64
Manteiga	2	50.50	34.47	24.70	17.89	6.81	13.55
Manteiga	3	32.00	35.70	29.73	22.03	7.70	15.97
Manteiga	4	38.17	32.70	25.57	19.27	6.30	17.50
Portuguesa	1	45.83	38.17	27.14	19.77	7.37	14.03
Portuguesa	2	43.60	33.59	26.30	19.62	6.68	13.07
Portuguesa	3	30.83	39.84	29.93	22.25	7.68	16.77
Portuguesa	4	27.17	34.57	26.65	21.08	5.57	16.01
